frame,total_vehicles,cars,buses,trucks,motorcycles,inbound,outbound,traffic_status,congestion_percentage
1,0,0,0,0,0,0,0,Low Traffic,0.0
2,0,0,0,0,0,0,0,Low Traffic,0.0
3,0,0,0,0,0,0,0,Low Traffic,0.0
4,0,0,0,0,0,0,0,Low Traffic,0.0
5,0,0,0,0,0,0,0,Low Traffic,0.0
6,0,0,0,0,0,0,0,Low Traffic,0.0
7,0,0,0,0,0,0,0,Low Traffic,0.0
8,0,0,0,0,0,0,0,Low Traffic,0.0
9,0,0,0,0,0,0,0,Low Traffic,0.0
10,0,0,0,0,0,0,0,Low Traffic,0.0
11,0,0,0,0,0,0,0,Low Traffic,0.0
12,0,0,0,0,0,0,0,Low Traffic,0.0
13,0,0,0,0,0,0,0,Low Traffic,0.0
14,0,0,0,0,0,0,0,Low Traffic,0.0
15,0,0,0,0,0,0,0,Low Traffic,0.0
16,0,0,0,0,0,0,0,Low Traffic,0.0
17,0,0,0,0,0,0,0,Low Traffic,0.0
18,0,0,0,0,0,0,0,Low Traffic,0.0
19,1,0,0,1,0,1,0,Low Traffic,2.0
20,1,0,0,1,0,1,0,Low Traffic,2.0
21,1,0,0,1,0,1,0,Low Traffic,2.0
22,1,0,0,1,0,1,0,Low Traffic,2.0
23,1,0,0,1,0,1,0,Low Traffic,2.0
24,1,0,0,1,0,1,0,Low Traffic,2.0
25,2,0,0,2,0,1,1,Low Traffic,4.0
26,2,0,0,2,0,1,1,Low Traffic,4.0
27,2,0,0,2,0,1,1,Low Traffic,4.0
28,2,0,0,2,0,1,1,Low Traffic,4.0
29,2,0,0,2,0,1,1,Low Traffic,4.0
30,2,0,0,2,0,1,1,Low Traffic,4.0
31,2,0,0,2,0,1,1,Low Traffic,4.0
32,2,0,0,2,0,1,1,Low Traffic,4.0
33,2,0,0,2,0,1,1,Low Traffic,4.0
34,2,0,0,2,0,1,1,Low Traffic,4.0
35,2,0,0,2,0,1,1,Low Traffic,4.0
36,2,0,0,2,0,1,1,Low Traffic,4.0
37,2,0,0,2,0,1,1,Low Traffic,4.0
38,2,0,0,2,0,1,1,Low Traffic,4.0
39,2,0,0,2,0,1,1,Low Traffic,4.0
40,2,0,0,2,0,1,1,Low Traffic,4.0
41,2,0,0,2,0,1,1,Low Traffic,4.0
42,2,0,0,2,0,1,1,Low Traffic,4.0
43,2,0,0,2,0,1,1,Low Traffic,4.0
44,2,0,0,2,0,1,1,Low Traffic,4.0
45,2,0,0,2,0,1,1,Low Traffic,4.0
46,2,0,0,2,0,1,1,Low Traffic,4.0
47,2,0,0,2,0,1,1,Low Traffic,4.0
48,2,0,0,2,0,1,1,Low Traffic,4.0
49,3,0,0,3,0,2,1,Low Traffic,6.0
50,3,0,0,3,0,2,1,Low Traffic,6.0
51,3,0,0,3,0,2,1,Low Traffic,6.0
52,3,0,0,3,0,2,1,Low Traffic,6.0
53,3,0,0,3,0,2,1,Low Traffic,6.0
54,3,0,0,3,0,2,1,Low Traffic,6.0
55,3,0,0,3,0,2,1,Low Traffic,6.0
56,3,0,0,3,0,2,1,Low Traffic,6.0
57,3,0,0,3,0,2,1,Low Traffic,6.0
58,3,0,0,3,0,2,1,Low Traffic,6.0
59,3,0,0,3,0,2,1,Low Traffic,6.0
60,3,0,0,3,0,2,1,Low Traffic,6.0
61,3,0,0,3,0,2,1,Low Traffic,6.0
62,3,0,0,3,0,2,1,Low Traffic,6.0
63,3,0,0,3,0,2,1,Low Traffic,6.0
64,3,0,0,3,0,2,1,Low Traffic,6.0
65,3,0,0,3,0,2,1,Low Traffic,6.0
66,3,0,0,3,0,2,1,Low Traffic,6.0
67,3,0,0,3,0,2,1,Low Traffic,6.0
68,3,0,0,3,0,2,1,Low Traffic,6.0
69,3,0,0,3,0,2,1,Low Traffic,6.0
70,3,0,0,3,0,2,1,Low Traffic,6.0
71,3,0,0,3,0,2,1,Low Traffic,6.0
72,3,0,0,3,0,2,1,Low Traffic,6.0
73,3,0,0,3,0,2,1,Low Traffic,6.0
74,3,0,0,3,0,2,1,Low Traffic,6.0
75,3,0,0,3,0,2,1,Low Traffic,6.0
76,3,0,0,3,0,2,1,Low Traffic,6.0
77,3,0,0,3,0,2,1,Low Traffic,6.0
78,3,0,0,3,0,2,1,Low Traffic,6.0
79,3,0,0,3,0,2,1,Low Traffic,6.0
80,3,0,0,3,0,2,1,Low Traffic,6.0
81,3,0,0,3,0,2,1,Low Traffic,6.0
82,4,0,0,4,0,2,2,Low Traffic,8.0
83,4,0,0,4,0,2,2,Low Traffic,8.0
84,4,0,0,4,0,2,2,Low Traffic,8.0
85,4,0,0,4,0,2,2,Low Traffic,8.0
86,4,0,0,4,0,2,2,Low Traffic,8.0
87,4,0,0,4,0,2,2,Low Traffic,8.0
88,4,0,0,4,0,2,2,Low Traffic,8.0
89,4,0,0,4,0,2,2,Low Traffic,8.0
90,4,0,0,4,0,2,2,Low Traffic,8.0
91,4,0,0,4,0,2,2,Low Traffic,8.0
92,4,0,0,4,0,2,2,Low Traffic,8.0
93,4,0,0,4,0,2,2,Low Traffic,8.0
94,4,0,0,4,0,2,2,Low Traffic,8.0
95,4,0,0,4,0,2,2,Low Traffic,8.0
96,4,0,0,4,0,2,2,Low Traffic,8.0
97,4,0,0,4,0,2,2,Low Traffic,8.0
98,4,0,0,4,0,2,2,Low Traffic,8.0
99,4,0,0,4,0,2,2,Low Traffic,8.0
100,4,0,0,4,0,2,2,Low Traffic,8.0
101,4,0,0,4,0,2,2,Low Traffic,8.0
102,4,0,0,4,0,2,2,Low Traffic,8.0
103,4,0,0,4,0,2,2,Low Traffic,8.0
104,4,0,0,4,0,2,2,Low Traffic,8.0
105,4,0,0,4,0,2,2,Low Traffic,8.0
106,4,0,0,4,0,2,2,Low Traffic,8.0
107,4,0,0,4,0,2,2,Low Traffic,8.0
108,4,0,0,4,0,2,2,Low Traffic,8.0
109,4,0,0,4,0,2,2,Low Traffic,8.0
110,4,0,0,4,0,2,2,Low Traffic,8.0
111,4,0,0,4,0,2,2,Low Traffic,8.0
112,4,0,0,4,0,2,2,Low Traffic,8.0
113,4,0,0,4,0,2,2,Low Traffic,8.0
114,5,0,0,5,0,2,3,Low Traffic,10.0
115,5,0,0,5,0,2,3,Low Traffic,10.0
116,5,0,0,5,0,2,3,Low Traffic,10.0
117,5,0,0,5,0,2,3,Low Traffic,10.0
118,5,0,0,5,0,2,3,Low Traffic,10.0
119,5,0,0,5,0,2,3,Low Traffic,10.0
120,5,0,0,5,0,2,3,Low Traffic,10.0
121,5,0,0,5,0,2,3,Low Traffic,10.0
122,5,0,0,5,0,2,3,Low Traffic,10.0
123,5,0,0,5,0,2,3,Low Traffic,10.0
124,5,0,0,5,0,2,3,Low Traffic,10.0
125,5,0,0,5,0,2,3,Low Traffic,10.0
126,5,0,0,5,0,2,3,Low Traffic,10.0
127,5,0,0,5,0,2,3,Low Traffic,10.0
128,5,0,0,5,0,2,3,Low Traffic,10.0
129,5,0,0,5,0,2,3,Low Traffic,10.0
130,5,0,0,5,0,2,3,Low Traffic,10.0
131,5,0,0,5,0,2,3,Low Traffic,10.0
132,5,0,0,5,0,2,3,Low Traffic,10.0
133,5,0,0,5,0,2,3,Low Traffic,10.0
134,5,0,0,5,0,2,3,Low Traffic,10.0
135,5,0,0,5,0,2,3,Low Traffic,10.0
136,5,0,0,5,0,2,3,Low Traffic,10.0
137,5,0,0,5,0,2,3,Low Traffic,10.0
138,5,0,0,5,0,2,3,Low Traffic,10.0
139,5,0,0,5,0,2,3,Low Traffic,10.0
140,5,0,0,5,0,2,3,Low Traffic,10.0
141,5,0,0,5,0,2,3,Low Traffic,10.0
142,5,0,0,5,0,2,3,Low Traffic,10.0
143,5,0,0,5,0,2,3,Low Traffic,10.0
144,5,0,0,5,0,2,3,Low Traffic,10.0
145,5,0,0,5,0,2,3,Low Traffic,10.0
146,5,0,0,5,0,2,3,Low Traffic,10.0
147,5,0,0,5,0,2,3,Low Traffic,10.0
148,5,0,0,5,0,2,3,Low Traffic,10.0
149,5,0,0,5,0,2,3,Low Traffic,10.0
150,5,0,0,5,0,2,3,Low Traffic,10.0
151,5,0,0,5,0,2,3,Low Traffic,10.0
152,5,0,0,5,0,2,3,Low Traffic,10.0
153,5,0,0,5,0,2,3,Low Traffic,10.0
154,5,0,0,5,0,2,3,Low Traffic,10.0
155,5,0,0,5,0,2,3,Low Traffic,10.0
156,5,0,0,5,0,2,3,Low Traffic,10.0
157,5,0,0,5,0,2,3,Low Traffic,10.0
158,5,0,0,5,0,2,3,Low Traffic,10.0
159,5,0,0,5,0,2,3,Low Traffic,10.0
160,5,0,0,5,0,2,3,Low Traffic,10.0
161,5,0,0,5,0,2,3,Low Traffic,10.0
162,5,0,0,5,0,2,3,Low Traffic,10.0
163,5,0,0,5,0,2,3,Low Traffic,10.0
164,5,0,0,5,0,2,3,Low Traffic,10.0
165,5,0,0,5,0,2,3,Low Traffic,10.0
166,5,0,0,5,0,2,3,Low Traffic,10.0
167,5,0,0,5,0,2,3,Low Traffic,10.0
168,5,0,0,5,0,2,3,Low Traffic,10.0
169,5,0,0,5,0,2,3,Low Traffic,10.0
170,5,0,0,5,0,2,3,Low Traffic,10.0
171,5,0,0,5,0,2,3,Low Traffic,10.0
172,5,0,0,5,0,2,3,Low Traffic,10.0
173,5,0,0,5,0,2,3,Low Traffic,10.0
174,5,0,0,5,0,2,3,Low Traffic,10.0
175,5,0,0,5,0,2,3,Low Traffic,10.0
176,5,0,0,5,0,2,3,Low Traffic,10.0
177,5,0,0,5,0,2,3,Low Traffic,10.0
178,5,0,0,5,0,2,3,Low Traffic,10.0
179,5,0,0,5,0,2,3,Low Traffic,10.0
180,5,0,0,5,0,2,3,Low Traffic,10.0
181,5,0,0,5,0,2,3,Low Traffic,10.0
182,5,0,0,5,0,2,3,Low Traffic,10.0
183,5,0,0,5,0,2,3,Low Traffic,10.0
184,5,0,0,5,0,2,3,Low Traffic,10.0
185,5,0,0,5,0,2,3,Low Traffic,10.0
186,5,0,0,5,0,2,3,Low Traffic,10.0
187,5,0,0,5,0,2,3,Low Traffic,10.0
188,5,0,0,5,0,2,3,Low Traffic,10.0
189,5,0,0,5,0,2,3,Low Traffic,10.0
190,6,0,0,6,0,3,3,Low Traffic,12.0
191,6,0,0,6,0,3,3,Low Traffic,12.0
192,6,0,0,6,0,3,3,Low Traffic,12.0
193,6,0,0,6,0,3,3,Low Traffic,12.0
194,6,0,0,6,0,3,3,Low Traffic,12.0
195,6,0,0,6,0,3,3,Low Traffic,12.0
196,6,0,0,6,0,3,3,Low Traffic,12.0
197,6,0,0,6,0,3,3,Low Traffic,12.0
198,6,0,0,6,0,3,3,Low Traffic,12.0
199,6,0,0,6,0,3,3,Low Traffic,12.0
200,6,0,0,6,0,3,3,Low Traffic,12.0
201,6,0,0,6,0,3,3,Low Traffic,12.0
202,6,0,0,6,0,3,3,Low Traffic,12.0
203,6,0,0,6,0,3,3,Low Traffic,12.0
204,6,0,0,6,0,3,3,Low Traffic,12.0
205,6,0,0,6,0,3,3,Low Traffic,12.0
206,6,0,0,6,0,3,3,Low Traffic,12.0
207,6,0,0,6,0,3,3,Low Traffic,12.0
208,6,0,0,6,0,3,3,Low Traffic,12.0
209,6,0,0,6,0,3,3,Low Traffic,12.0
210,6,0,0,6,0,3,3,Low Traffic,12.0
211,6,0,0,6,0,3,3,Low Traffic,12.0
212,6,0,0,6,0,3,3,Low Traffic,12.0
213,6,0,0,6,0,3,3,Low Traffic,12.0
214,6,0,0,6,0,3,3,Low Traffic,12.0
215,6,0,0,6,0,3,3,Low Traffic,12.0
216,6,0,0,6,0,3,3,Low Traffic,12.0
